Senior Backend Developer,Kashier Payment Solutions -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Engineering · Computer Science · Engineering · Information Technology (IT) · Software Development · Web Development,https://wuzzuf.net/jobs/p/s0F1qtoOAWkU-Senior-Backend-Developer-Kashier-Payment-Solutions-Cairo-Egypt?o=52&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Full Stack Developer,American Academy -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · HTML5 · JavaScript · Software Development · Web Development · Full Stack Development · .Net · Angular,https://wuzzuf.net/jobs/p/7DV8dE5VRLAY-Full-Stack-Developer-American-Academy-Giza-Egypt?o=53&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Angular Developer,EXALT Technologies -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software · Software Development · Software Engineering · Computer Science · SW Development · Information Technology (IT) · Code · Web Applications,https://wuzzuf.net/jobs/p/DMpqzsnJ3Tr2-Angular-Developer-EXALT-Technologies-Cairo-Egypt?o=54&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Backend Developer,WEmng -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Engineering · Computer Science · Software Development · Web · computer · core · EF,https://wuzzuf.net/jobs/p/I3bDLriL7gIH-Senior-Backend-Developer-WEmng-Cairo-Egypt?o=55&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Methods Developer,Meem Development -,"Smouha, Alexandria, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Systems · Information Technology (IT) · Web Development · RESTful APIs · SOAP · Web,https://wuzzuf.net/jobs/p/9OjDjijVv6o1-Web-Methods-Developer-Meem-Development-Alexandria-Egypt?o=56&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
"Software Development Team Lead/ Full Stack Development - (Laravel, Vue, Golang)",Our Education -,"Nasr City, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · Engineering · Computer Science · Web Development · PHP · OOP,https://wuzzuf.net/jobs/p/z3o4zOWBaI2e-Software-Development-Team-Lead-Full-Stack-Development---Laravel-Vue-Golang-Our-Education-Cairo-Egypt?o=57&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior PHP Developer,GedyGroup -,"6th of October, Giza, Egypt ",Work From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Laravel · Information Technology (IT) · Computer Science · Agile · Software Engineering · Web Development · MySQL,https://wuzzuf.net/jobs/p/tcaS2LfPj3D6-Senior-PHP-Developer-GedyGroup-Giza-Egypt?o=58&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Backend Developer,EXALT Technologies -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software · Software Development · Software Engineering · Computer Science · SW Development · Automation · Information Technology (IT) · Java,https://wuzzuf.net/jobs/p/fVqKhnMGDK2R-Backend-Developer-EXALT-Technologies-Cairo-Egypt?o=59&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Web Development Manager,WEmng -,"New Cairo, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Agile · Computer Science · Information Technology (IT) · JavaScript · HTML · MVC · Software Development,https://wuzzuf.net/jobs/p/BSZF7MYfhqhL-Web-Development-Manager-WEmng-Cairo-Egypt?o=60&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
job title,company name,location,skills,links
,,,,
Senior Java Developer,DMS -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Hibernate · Information Technology (IT) · J2EE · Java · Oracle · ORM · Software Development,https://wuzzuf.net/jobs/p/Mae0NNvzkZuf-Senior-Java-Developer-DMS-Cairo-Egypt?o=91&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
